f1,f2,Δf,R,G1,G2,Vsq,VsqU
0.1,100,110.961,1,6,1500,0.559,0.001
0.1,100,110.961,10,6,1500,0.5608,0.001
0.1,100,110.961,100,6,1500,0.574,0.001
0.1,100,110.961,1000,6,1500,0.711,0.001
0.1,100,110.961,10000,6,1000,0.9255,0.001
0.1,33,36.543,10000,6,1500,0.677,0.001
0.1,33,36.543,1000,6,3000,0.928,0.001
0.1,33,36.543,100,6,3000,0.751,0.002
0.1,33,36.543,10,6,3000,0.731,0.002
0.1,33,36.543,1,6,3000,0.733,0.002
0.1,10,10.996,1,6,4000,0.387,0.002
0.1,10,10.996,10,6,4000,0.388,0.002
0.1,10,10.996,100,6,4000,0.396,0.002
0.1,10,10.996,1000,6,4000,0.493,0.002
0.1,10,10.996,10000,6,2000,0.358,0.002
