T,R,f1,f2,Δf,G2,Vsq
295.2,10,1,10,9.997,5,0.55
295.2,10,1,33,35.543,3,0.716
295.2,10,1,100,109.961,1.5,0.5583
295.2,10000,1,10,9.997,3,0.716
295.2,10000,1,33,35.543,1.5,0.636
295.2,10000,1,100,109.961,1,0.792
295.2,100000,1,10,9.997,1.5,1.106
295.2,100000,1,33,35.543,0.8,0.671
295.2,100000,1,100,109.961,0.8,1.001
77,10,1,10,9.997,4,0.352
77,10,1,33,35.543,3,0.717
77,10,1,100,109.961,1.5,0.557
77,10000,1,10,9.997,3,0.336
77,10000,1,33,35.543,2,0.533
77,10000,1,100,109.961,1.5,0.898
77,100000,1,10,9.997,1.5,0.3375
,100000,1,33,35.543,1.5,0.7976
,100000,1,100,109.961,0.8,0.4153
